,app_id,url,prediction,reason
0,com.easy.currency.pro,https://play.google.com/store/apps/details?id=com.easy.currency.pro&hl=en&gl=us,suspected,"User reviews report unresolved issues with ads after purchase and chart malfunctions. The developer's website is rudimentary and links to another app, raising concerns about legitimacy. Duplicate reviews further suggest potential manipulation, despite the app description and permissions appearing genuine."
1,com.landrecord.anyrorgujrat,https://play.google.com/store/apps/details?id=com.landrecord.anyrorgujrat&hl=en&gl=us,suspected,"Multiple analyses raise concerns: repetitive reviews suggest manipulation, the developer's website and email lack credibility, the app's category is misleading, and unnecessary permissions point to potential background activity. While it provides land record info, the overall profile is suspicious."
2,com.taptapsend,https://play.google.com/store/apps/details?id=com.taptapsend&hl=en&gl=us,suspected,"While the app description, images, and developer information appear genuine, some reviews are suspicious, and the requested permissions (contacts, storage, camera, NFC) seem excessive for a money transfer app, warranting further investigation."
3,com.cleevio.spendee,https://play.google.com/store/apps/details?id=com.cleevio.spendee&hl=en&gl=us,suspected,"Reviews indicate issues with core functionality (bank sync), and some are short/generic. Permissions to modify contacts and USB storage are excessive for a budgeting app, raising privacy concerns despite a seemingly legitimate app description and developer profile."
4,com.phonepe.app,https://play.google.com/store/apps/details?id=com.phonepe.app&hl=en&gl=us,suspected,"While the app's core functionality and developer details appear genuine, suspicious review patterns (generic content, coordinated complaints, unusually high thumbsUpCount) and excessive permissions raise concerns about potential manipulation and privacy risks. Further investigation is warranted."
5,com.halal.stocks,https://play.google.com/store/apps/details?id=com.halal.stocks&hl=en&gl=us,suspected,"While other analyses appear genuine, the review analysis raises concerns due to generic reviews, repetition, and foreign language content without translation. This suggests potential manipulation to inflate the app's rating, warranting further investigation despite other indicators being normal."
6,com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,https://play.google.com/store/apps/details?id=com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge&hl=en&gl=us,suspected,"The app has indicators of both genuine and potentially fraudulent activity. While developer info and description seem genuine, review patterns suggest manipulation, and excessive permissions raise privacy concerns. Further investigation is needed to confirm fraud."
7,net.taobits.officecalculator.android.pro,https://play.google.com/store/apps/details?id=net.taobits.officecalculator.android.pro&hl=en&gl=us,suspected,"While images, description, developer info, and permissions seem genuine, review analysis raises concerns due to duplicate reviews and users claiming usage for 'years'. This warrants further investigation despite other positive indicators."
8,com.cryptofarm,https://play.google.com/store/apps/details?id=com.cryptofarm&hl=en&gl=us,fraud,"Multiple user reviews report withdrawal issues, potential trojan virus in associated software, and claims of stolen funds. The app description makes unrealistic promises, and unnecessary permissions are requested. These factors strongly indicate fraudulent activity."
9,com.indianbank.creditcard,https://play.google.com/store/apps/details?id=com.indianbank.creditcard&hl=en&gl=us,suspected,"Review analysis shows suspicious patterns (generic/contradictory reviews, duplicates, irrelevant content, high thumbs up on negative reviews). The camera permission is questionable for a banking app without clear justification, raising privacy concerns. The app is published by the bank, but the review and permission issues warrant further investigation."
